number,citation,signing_date,document_number,notes
12983,,1995-12-21,95-31437,"Amends: EO 12871, October 1, 1993
See: EO 13156, May 17, 2000; EO 13203, February 17, 2001"
12984,,1995-12-28,95-31595,"Amended by: EO 12990, February 29, 1996
Superseded by: EO 13033, December 27, 1996"
12985,,1996-01-11,96-622,"Amended by: EO 13286, February 28, 2003
See: EO 13154, May 3, 2000"
12986,,1996-01-18,96-955,
12987,,1996-01-31,96-2407,"Amends: EO 12964, June 21, 1995
See: EO 13032, December 26, 1996
Revoked by: EO 13062, September 29, 1997"
12988,,1996-02-05,96-2755,"Revokes: EO 12778, October 23, 1991
Supplemented by: EO 13083, May 14, 1998 (which was suspended by EO 13095, August 5, 1998); EO 13084, May 14, 1998; EO 13132, August 4, 1999
See: EO 12866, September 30, 1993; EO 13175, November 6, 2000"
12989,,1996-02-13,96-3646,"Amended by: EO 13286, February 28, 2003; EO 13466, June 26, 2008"
12990,,1996-02-29,96-5263,"Amends: EO 12984, December 28, 1995
Superseded by: EO 13033, December 27, 1996"
12991,,1996-03-06,96-5832,"Amends: EO 12131, May 4, 1979"
12992,,1996-03-15,96-6803,"Amended by: EO 13023, November 6, 1996; EO 13284, January 23, 2003"
12993,,1996-03-21,96-7460,
12994,,1996-03-21,96-7461,"Amended by: EO 13062, September 29, 1997; EO 13138, September 30, 1999; EO 13225, September 28, 2001; EO 13309, July 25, 2003; EO 13385, September 29, 2005; EO 13446, September 28, 2007
Continued by: EO 13446, September 28, 2007; EO 13511, September 29, 2009
See: EO 13585, September 30, 2011"
12995,,1996-03-25,96-7773,"Amends: EO 12873, October 20, 1993"
12996,,1996-03-25,96-7774,
12997,,1996-04-01,96-8520,
12998,,1996-04-05,96-9033,"Amends: EO 11880, October 2, 1975
Revoked by: EO 13242, December 18, 2001"
12999,,1996-04-17,96-9866,"Supersedes: EO 12821, November 16, 1992"
13000,,1996-04-24,96-10550,"Revokes: EO 12787, December 31, 1991
Revoked by: EO 13394, December 22, 2005"
13001,,1996-05-08,96-11966,
13002,,1996-05-13,96-12535,
13003,,1996-05-15,96-12720,
13004,,1996-05-17,96-13081,
13005,,1996-05-21,96-13306,
13006,,1996-05-21,96-13305,"See: EO 11593, May 13, 1971; EO 12072, August 16, 1978"
13007,,1996-05-24,96-13597,
13008,,1996-06-03,96-14372,"Amends: EO 12880, November 16, 1993"
13009,,1996-06-14,96-15656,"Amends: EO 12963, June 14, 1995"
13010,,1996-07-15,96-18351,"Amended by: EO 13025, November 13, 1996; EO 13041, April 3, 1997; EO 13064, October 11, 1997; EO 13077, March 10, 1998
See: EO 13130, July 14, 1999
Revoked in part by: EO 13138, September 30, 1999 "
13011,,1996-07-16,96-18555,"Amended by: EO 13284, January 23, 2003; EO 13286, February 28, 2003
See: EO 13103, September 30, 1998
Revoked by: EO 13403, May 12, 2006"
13012,,1996-07-18,96-18846,
13013,,1996-08-06,96-20531,"Amends: EO 10163, September 25, 1950 "
13014,,1996-08-15,96-13014,"Supersedes: EO 12143, June 22, 1979"
13015,,1996-08-22,96-21996,"Revoked by: EO 13062, September 29, 1997"
13016,,1996-08-28,96-22462,"Amends: EO 12580, January 23, 1987"
13017,,1996-09-05,96-23187,"Amended by: EO 13040, March 25, 1997; EO 13056, July 21, 1997
Revoked by: EO 13138 September 30, 1999"
13018,,1996-09-16,96-24048,"Amends: EO 12975, October 13, 1995
See: EO 13316, September 17, 2003"
13019,,1996-09-28,96-25577,
13020,,1996-10-12,96-26837,"Amends: EO 12981, December 5, 1995
See: EO 12924, August 19, 1995"
13021,,1996-10-19,96-27352,"Amended by: EO 13104, October 19, 1998; EO 13138, September 30,1999; EO 13225, September 28, 2001
Revoked by: EO 13270, July 3, 2002"
13022,,1996-10-31,96-28509,"Supersedes in part: EO 199-A, January 20, 1903; EO 8682, February 14, 1941; EO 8729, April 2, 1941; EO 11048, September 4, 1962
See: EO 11593, May 13, 1971; EO 12996, March 25, 1996"
13023,,1996-11-06,96-28938,"Amends: EO 12992, March 15, 1996"
13024,,1996-11-07,96-29109,"Amends: EO 12015, October 26, 1977"
13025,,1996-11-13,96-29597,"Amends: EO 13010, July 15, 1996
Note: EO 13025 is nullified in part by virtue of the Advisory Committee of the President's Commission on Critical Infrastructure Protection being abolished by EO 13138, September 30, 1999."
13026,,1996-11-15,96-29692,"Amends: EO 12981, December 5, 1995
See: EO 13206, April 4, 2001; EO 13222, August 17, 2001"
